"","Name","Link","OverallRating","StartingPrice","DistanceFromCityCentre"
"129","Capsule Hotel Anshin Oyado Akihabara","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Akihabara/Tokyo/281075",8.3,"CA$74.12","7.2km from city centre  - Show on Map"
"130","Capsule Hotel Anshin Oyado Shinbashi","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Shinbashi/Tokyo/281072",0,"CA$80.82","6.6km from city centre  - Show on Map"
"131","Hiromas Hostel in Ueno","https://www.hostelworld.com/hosteldetails.php/Hiromas-Hostel-in-Ueno/Tokyo/286076",9.3,"CA$23.95","8.7km from city centre  - Show on Map"
"132","Capsule Hotel Anshin Oyado Shinbashi Shiodome","https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Shinbashi-Shiodome/Tokyo/281076",9.1,"CA$82.02","6.6km from city centre  - Show on Map"
"133","Hisayo's Inn","https://www.hostelworld.com/hosteldetails.php/Hisayo-s-Inn/Tokyo/283587",9.7,"CA$11973.58","15.7km from city centre  - Show on Map"
"134","Shibamata FU-TEN Bed and Local","https://www.hostelworld.com/hosteldetails.php/Shibamata-FU-TEN-Bed-and-Local/Tokyo/276190",4.9,"CA$35.92","18.5km from city centre  - Show on Map"
"135","Tokyo House Inn","https://www.hostelworld.com/hosteldetails.php/Tokyo-House-Inn/Tokyo/272913",8,"CA$45.50","1.5km from city centre  - Show on Map"
"136","bnb+ Costeln Akiba(Female only)","https://www.hostelworld.com/hosteldetails.php/bnb-Costeln-Akiba-Female-only/Tokyo/282620",0,"CA$23.95","7.8km from city centre  - Show on Map"
"137","Oak Hotel Edo","https://www.hostelworld.com/hosteldetails.php/Oak-Hotel-Edo/Tokyo/272749",7.6,"CA$26.34","9.7km from city centre  - Show on Map"
"138","Japan Hostel Shinya Tokkyu","https://www.hostelworld.com/hosteldetails.php/Japan-Hostel-Shinya-Tokkyu/Tokyo/291182",0,"CA$38.32","13.9km from city centre  - Show on Map"
"139","Tokyo Hutte","https://www.hostelworld.com/hosteldetails.php/Tokyo-Hutte/Tokyo/266636",0,"CA$35.92","11.3km from city centre  - Show on Map"
"140","Japanize Guest House","https://www.hostelworld.com/hosteldetails.php/Japanize-Guest-House/Tokyo/273068",8.1,"CA$22.75","8.1km from city centre  - Show on Map"
"141","bnb+ Ninja Dojo Ueno","https://www.hostelworld.com/hosteldetails.php/bnb-Ninja-Dojo-Ueno/Tokyo/282676",5,"CA$11973.58","8km from city centre  - Show on Map"
"142","Tamanoi Hostel 201/301","https://www.hostelworld.com/hosteldetails.php/Tamanoi-Hostel-201-301/Tokyo/281335",0,"CA$167.63","12.4km from city centre  - Show on Map"
