"","c.1..2..3..4..5..6..7..8..9..10..11..12..13..14..15..16..17..","c.1..2..3..2..4..4..1..5..4..6..4..3..7..2..1..2..3..8..9..1..","c.1..1..1..1..2..2..1..2..2..1..2..1..2..1..1..1..1..1..1..1..","c.1..2..3..4..5..6..7..8..9..10..11..12..13..14..15..16..17...1","c.9.4..8.7..8.3..8.5..7.7..8.2..8.7..8.1..8.3..9.6..8.1..8.4..","c.9.7..9.6..9.4..9.5..9.3..9.1..9.8..9..9.4..9.8..9.5..9.3..8.6..","c.9.7..9.1..8.7..9.6..8.8..8.8..9.2..8.6..8.6..9.5..9.1..8.9..","c.7.8..8.9..8.7..8.7..9.2..8.9..9.3..8..9..9..8.5..9.1..8.9..","c.9.7..9.2..9.6..9.5..9.2..9.2..9.7..9.2..9.1..9.5..9.5..9.2..","c.9.8..9.5..9.4..9.5..9.5..9.3..9.6..9.3..9..9.9..9..9.2..8.6..","c.9.5..9.3..9..9.2..8.9..8.9..9.4..8.6..8.7..9.6..8.8..9..8.7.."
"80",80,23,3,68,7.3,8.7,6,6,8,6.7,6
"81",81,15,2,71,7.3,8.3,8,8,9.5,7.8,8
"82",82,5,2,72,8.6,8.9,8.3,8.6,9.1,8.6,8.6
"83",83,17,3,73,8,8,8,8,8,8,6
"84",84,12,2,74,7.1,7.1,7.7,9.1,8,9.1,7.7
"85",85,6,1,75,9,10,9.7,9.3,9.7,10,9.3
"86",86,2,1,68,10,9.3,8,10,8,10,9.3
"87",87,24,4,76,6,8,6,6,4,4,6
"88",88,25,1,76,10,10,10,10,10,10,10
"89",89,12,2,76,NA,NA,NA,NA,NA,NA,NA
"90",90,26,3,76,NA,NA,NA,NA,NA,NA,NA
"91",91,20,2,77,7.4,8,8.3,8.3,8.9,8,9.7
"92",92,21,2,78,8,9,9,7,8,10,9
"93",93,18,3,79,6.5,9,7,7.5,9.5,8,6
"94",94,12,2,80,8,8.7,8,7.3,8,8,8
"95",95,10,1,81,8,9.6,10,9.2,10,8.8,9.2
"96",96,13,1,82,8,10,10,10,10,10,10
"97",97,1,1,83,8,10,9.3,9.3,10,10,9.3
"98",98,12,2,84,6,10,8,8,9,7,8
"99",99,3,1,85,8,9.3,8.7,8.7,10,8.7,9.3
"100",100,3,1,50,7.5,8.5,8.9,9.5,9.2,9.7,9.4
"101",101,2,1,86,8.9,9.1,9.4,9.1,9.4,9.7,8.9
"102",102,6,1,87,9.6,10,9.6,8.8,9.6,10,9.6
"103",103,21,2,58,8.5,8.5,8,9.5,8,10,8
"104",104,20,2,82,NA,NA,NA,NA,NA,NA,NA
"105",105,3,1,88,8,9.3,8.7,8,10,9.3,9.3
"106",106,12,2,89,6,7.4,7.1,8.9,8.3,9.1,9.1
"107",107,15,2,43,7,10,7,8,9,9,7
"108",108,11,2,78,7.5,9.5,8.5,8.5,9.5,9.5,8.5
"109",109,6,1,84,8,10,10,10,9,10,10
"110",110,13,1,90,10,10,10,10,10,10,8
"111",111,27,3,42,7.3,4.9,6.7,7.1,8,8,7.8
"112",112,7,2,91,8.7,8.7,8.3,8.3,9,8.7,8
"113",113,27,3,84,6,8,6,6,8,8,8
"114",114,25,1,66,10,10,10,10,10,10,10
"115",115,21,2,92,8.7,8.7,8,8.7,8,8,10
"116",116,28,4,93,4,3,3,9,5,6.5,6
"117",117,27,3,94,6,4,4,10,8,10,8
"118",118,26,3,62,6.7,7.3,7.3,6,8.7,8.7,7.3
"119",119,22,2,95,7.5,8.7,8,7.5,8.5,8.9,8.7
"120",120,29,5,81,7,6,5,6,5,7,8
"121",121,22,2,68,NA,NA,NA,NA,NA,NA,NA
"122",122,25,1,84,10,10,10,10,10,10,10
"123",123,8,1,79,10,10,8,8,8,10,10
"124",124,10,1,82,8,9,9,9,10,10,10
"125",125,8,1,76,NA,NA,NA,NA,NA,NA,NA
"126",126,13,1,82,10,10,10,9,10,10,9
"127",127,30,4,76,2,4,2,2,10,10,4
"128",128,12,2,64,8,8,8,8,8,8,8
"129",129,18,3,96,4,10,8,8,8,8,7
"130",130,15,2,97,7,7,8,9,8,9,9
"131",131,31,4,68,4,2,4,8,5,5,7
"132",132,2,1,98,8,9.4,9.2,9.6,9.6,9.2,9.1
"133",133,16,1,99,9.5,9.9,9.7,9.9,9.8,9.9,9.8
"134",134,13,1,100,9.2,9.9,9.9,9.4,9.8,9.8,9.8
"135",135,9,1,101,9.5,9.6,9.3,9.3,9.5,9.8,9.4
"136",136,2,1,102,8.8,9.2,9.2,9,9.4,9.4,9
"137",137,13,1,103,9.6,10,9.9,9.2,9.8,9.8,9.8
"138",138,9,1,3,9,9.9,9.6,9.9,9.6,9.6,9.4
"139",139,13,1,104,9.4,9.9,9.5,9.6,9.9,9.9,9.7
"140",140,16,1,105,9.7,10,9.8,9.8,9.9,10,9.8
"141",141,1,1,106,9,9.7,9.4,9.4,9.5,9.3,9.5
"142",142,13,1,107,9.1,9.9,9.6,9.6,9.8,9.9,9.7
"143",143,7,2,108,7.8,8.9,8.6,8.9,8,8.4,8.9
"144",144,11,2,109,8.1,9.5,8.4,9.2,8.6,9.2,8.3
"145",145,4,2,110,7.5,9.5,9.2,9.7,9.4,8.8,8.3
"146",146,21,2,111,7.4,8.1,8.1,9.4,9.1,9.2,8.6
"147",147,10,1,109,8.8,9.6,9.6,9.1,9.6,9.2,9.5
"148",148,4,2,112,8.1,9.1,8.3,8.8,9.4,9.5,8.9
"149",149,2,1,113,8.4,10,9.8,9.8,8.6,8.5,9.2
"150",150,4,2,114,8.2,9,8.6,9.3,8.5,9.5,9
"151",151,10,1,115,9.6,9.4,9,8.7,9.6,9.7,9.2
"152",152,16,1,116,9.4,9.9,9.9,9.7,10,10,10
"153",153,9,1,117,8.9,9.9,9.5,9.5,9.7,9.8,9.2
"154",154,1,1,118,8.9,9.8,9.1,9.8,9.3,9.5,9.6
"155",155,1,1,119,9.1,9.5,8.9,9.3,9.5,9.9,9.7
"156",156,1,1,15,8.4,10,10,9.6,9.4,9.8,8.8
"157",157,6,1,85,8.9,9.5,9.7,9.8,9.8,9.8,9.5
"158",158,10,1,120,8.9,9.5,9.1,8.9,8.9,9.7,9.7
"159",159,8,1,121,8.5,9.3,9.2,9.4,9.2,9.2,9.1
"160",160,2,1,68,8.7,10,9.3,8.7,10,10,8
"161",161,3,1,122,8.7,9.4,9.1,8.9,8.7,9.5,9
"162",162,8,1,123,8.8,8.7,9,8.7,9.5,9.8,9.2
"163",163,1,1,78,9.4,9.7,9.4,8.9,9.4,9.7,9.1
"164",164,10,1,13,9.4,9.7,9.2,8.8,9.8,9.8,8.6
"165",165,10,1,15,9,9.7,9,9.3,9.3,9.7,9
"166",166,11,2,95,8,9.8,9.2,8.4,9.2,8.4,8.8
"167",167,9,1,124,9.5,9.7,8.8,9.6,9.6,9.6,9.9
"168",168,5,2,125,8.2,8.7,7.9,9.5,8.9,9,8.6
"169",169,11,2,126,8.4,8.8,9.2,8.8,9.6,8.4,8.4
"170",170,8,1,66,9.1,9.1,8.6,9.1,9.4,9.1,9.1
"171",171,2,1,127,9,9.8,9.3,8.3,9.8,9.2,8.8
"172",172,10,1,128,9.3,9.5,9.1,8.5,9.8,9.5,9.5
"173",173,4,2,129,9,9.7,9,8.7,7.7,9,9.3
"174",174,21,2,130,6,10,10,8,10,8,8
"175",175,6,1,86,9.1,9.7,9.1,9.7,9.4,10,10
"176",176,8,1,86,8.2,9.1,8.4,9.3,9.8,8.9,9.8
"177",177,5,2,131,8.7,9.1,7.6,9.3,8.2,9.3,8.9
"178",178,15,2,132,7.7,7.3,7.3,8.8,8.5,9,7.8
"179",179,32,3,133,6,8,6.7,9.3,9,8,8
"180",180,25,1,76,NA,NA,NA,NA,NA,NA,NA
"181",181,4,2,134,8.7,9.3,7.3,8.7,9.3,10,8.7
"182",182,20,2,71,8.3,7.7,8.3,8.7,7.7,9.3,9
"183",183,1,1,135,8,10,10,9.3,9.3,9.7,9.3
"184",184,16,1,136,9.3,10,10,10,10,10,9.3
"185",185,19,2,137,8,9.6,7.2,7.2,8.8,8.8,7.6
"186",186,21,2,138,7.6,9.2,8,9.2,8.4,8.8,8.8
"187",187,3,1,81,10,8.5,8.5,10,9,8.5,8.5
"188",188,32,3,126,8,7,7,8,8,8,9
"189",189,23,3,139,5.7,6,7,9,7,7.3,7.3
"190",190,22,2,82,7,8.5,8.5,9,8.5,8,8.5
"191",191,12,2,140,8.3,8.7,7.7,7.3,8.3,8.7,7.3
